Rank,max_speed,max_x,LeadingCarInstance.simple_car.v0,FollowingAlgorithmInstance.eps,AttackInstance.attack_value,FollowingAlgorithmInstance.omega_n,LeadingCarInstance.simple_car.x0,FollowingCarInstance.v0,FollowingAlgorithmInstance.c1,AttackInstance.attack_time,FollowingCarInstance.x0,AttackInstance.step_size
1,12.1584712154,230.678911541,0,1,149,0.2,50,0,0.5,20,0,0.01
2,12.258470657,233.427913069,0,1,148,0.2,50,0,0.5,20,0,0.01
3,12.3584700543,236.176914521,0,1,147,0.2,50,0,0.5,20,0,0.01
4,12.4584695047,238.925915996,0,1,146,0.2,50,0,0.5,20,0,0.01
5,12.5584689082,241.674917499,0,1,145,0.2,50,0,0.5,20,0,0.01
6,12.6584683336,244.423919098,0,1,144,0.2,50,0,0.5,20,0,0.01
7,12.758467773,247.17292069,0,1,143,0.2,50,0,0.5,20,0,0.01
8,12.8584671944,249.921922212,0,1,142,0.2,50,0,0.5,20,0,0.01
9,12.9584666485,252.670923692,0,1,141,0.2,50,0,0.5,20,0,0.01
10,13.0584660622,255.419925421,0,1,140,0.2,50,0,0.5,20,0,0.01
11,13.158465488,258.168926727,0,1,139,0.2,50,0,0.5,20,0,0.01
12,13.2584649119,260.917928493,0,1,138,0.2,50,0,0.5,20,0,0.01
13,13.3584643188,263.666930009,0,1,137,0.2,50,0,0.5,20,0,0.01
14,13.4584637853,266.415931617,0,1,136,0.2,50,0,0.5,20,0,0.01
15,13.5584631762,269.16493333,0,1,135,0.2,50,0,0.5,20,0,0.01
16,13.658462629,271.913934855,0,1,134,0.2,50,0,0.5,20,0,0.01
17,13.7584620458,274.662936185,0,1,133,0.2,50,0,0.5,20,0,0.01
18,13.8584614828,277.411937893,0,1,132,0.2,50,0,0.5,20,0,0.01
19,13.9584608701,280.160939428,0,1,131,0.2,50,0,0.5,20,0,0.01
20,14.0584603328,282.909940993,0,1,130,0.2,50,0,0.5,20,0,0.01
21,14.1584597385,285.658942499,0,1,129,0.2,50,0,0.5,20,0,0.01
22,14.2584591922,288.407944028,0,1,128,0.2,50,0,0.5,20,0,0.01
23,14.3584585828,291.156945604,0,1,127,0.2,50,0,0.5,20,0,0.01
24,14.4584580076,293.905947311,0,1,126,0.2,50,0,0.5,20,0,0.01
25,14.5584574324,296.65494857,0,1,125,0.2,50,0,0.5,20,0,0.01
26,14.6584568638,299.403949931,0,1,124,0.2,50,0,0.5,20,0,0.01
27,14.7584563282,302.152951492,0,1,123,0.2,50,0,0.5,20,0,0.01
28,14.8584556931,304.901953103,0,1,122,0.2,50,0,0.5,20,0,0.01
29,14.9584551315,307.650954869,0,1,121,0.2,50,0,0.5,20,0,0.01
30,15.0584545583,310.399956316,0,1,120,0.2,50,0,0.5,20,0,0.01
31,15.1584539992,313.148957623,0,1,119,0.2,50,0,0.5,20,0,0.01
32,15.2584534106,315.897959088,0,1,118,0.2,50,0,0.5,20,0,0.01
33,15.3584528725,318.646961055,0,1,117,0.2,50,0,0.5,20,0,0.01
34,15.4584522617,321.395962337,0,1,116,0.2,50,0,0.5,20,0,0.01
35,15.5584517279,324.144963807,0,1,115,0.2,50,0,0.5,20,0,0.01
36,15.6584511231,326.893965494,0,1,114,0.2,50,0,0.5,20,0,0.01
37,15.7584505906,329.642966787,0,1,113,0.2,50,0,0.5,20,0,0.01
38,15.8584499942,332.391968861,0,1,112,0.2,50,0,0.5,20,0,0.01
39,15.9584494535,335.140970021,0,1,111,0.2,50,0,0.5,20,0,0.01
40,16.0584488745,337.889971599,0,1,110,0.2,50,0,0.5,20,0,0.01
41,16.158448332,340.638972995,0,1,109,0.2,50,0,0.5,20,0,0.01
42,16.2584477338,343.387974564,0,1,108,0.2,50,0,0.5,20,0,0.01
43,16.3584471886,346.136976178,0,1,107,0.2,50,0,0.5,20,0,0.01
44,16.4584466318,348.885977372,0,1,106,0.2,50,0,0.5,20,0,0.01
45,16.5584460058,351.634978852,0,1,105,0.2,50,0,0.5,20,0,0.01
46,16.6584454598,354.383980693,0,1,104,0.2,50,0,0.5,20,0,0.01
47,16.7584448345,357.132982284,0,1,103,0.2,50,0,0.5,20,0,0.01
48,16.8584443097,359.881983684,0,1,102,0.2,50,0,0.5,20,0,0.01
49,16.9584436665,362.630985088,0,1,101,0.2,50,0,0.5,20,0,0.01
50,17.0584431638,365.379986576,0,1,100,0.2,50,0,0.5,20,0,0.01
