Rank,max_speed,max_x,LeadingCarInstance.simple_car.v0,FollowingAlgorithmInstance.eps,AttackInstance.attack_value,FollowingAlgorithmInstance.omega_n,LeadingCarInstance.simple_car.x0,FollowingCarInstance.v0,FollowingAlgorithmInstance.c1,AttackInstance.attack_time,FollowingCarInstance.x0,AttackInstance.step_size
1,9.49983123034,106.285014356,0,1,199,0.2,50,0,0.5,20,0,0.01
2,9.49983123034,106.28514751,0,1,198,0.2,50,0,0.5,20,0,0.01
3,9.49983123034,106.285290616,0,1,197,0.2,50,0,0.5,20,0,0.01
4,9.49983123034,106.285433723,0,1,196,0.2,50,0,0.5,20,0,0.01
5,9.49983123034,106.285576829,0,1,195,0.2,50,0,0.5,20,0,0.01
6,9.49983123034,106.973842413,0,1,194,0.2,50,0,0.5,20,0,0.01
7,9.49983123034,109.722844185,0,1,193,0.2,50,0,0.5,20,0,0.01
8,9.49983123034,112.471845636,0,1,192,0.2,50,0,0.5,20,0,0.01
9,9.49983123034,115.22084708,0,1,191,0.2,50,0,0.5,20,0,0.01
10,9.49983123034,117.969848453,0,1,190,0.2,50,0,0.5,20,0,0.01
11,9.49983123034,120.718849964,0,1,189,0.2,50,0,0.5,20,0,0.01
12,9.49983123034,123.467851468,0,1,188,0.2,50,0,0.5,20,0,0.01
13,9.49983123034,126.216852941,0,1,187,0.2,50,0,0.5,20,0,0.01
14,9.49983123034,128.965854747,0,1,186,0.2,50,0,0.5,20,0,0.01
15,9.49983123034,131.714856298,0,1,185,0.2,50,0,0.5,20,0,0.01
16,9.49983123034,134.463857697,0,1,184,0.2,50,0,0.5,20,0,0.01
17,9.49983123034,137.212859124,0,1,183,0.2,50,0,0.5,20,0,0.01
18,9.49983123034,139.961860871,0,1,182,0.2,50,0,0.5,20,0,0.01
19,9.49983123034,142.710862344,0,1,181,0.2,50,0,0.5,20,0,0.01
20,9.49983123034,145.459863867,0,1,180,0.2,50,0,0.5,20,0,0.01
21,9.49983123034,148.208865517,0,1,179,0.2,50,0,0.5,20,0,0.01
22,9.49983123034,150.957866968,0,1,178,0.2,50,0,0.5,20,0,0.01
23,9.49983123034,153.706868358,0,1,177,0.2,50,0,0.5,20,0,0.01
24,9.49983123034,156.455869844,0,1,176,0.2,50,0,0.5,20,0,0.01
25,9.55848607652,159.2048716,0,1,175,0.2,50,0,0.5,20,0,0.01
26,9.65848552413,161.953873338,0,1,174,0.2,50,0,0.5,20,0,0.01
27,9.75848492786,164.702874683,0,1,173,0.2,50,0,0.5,20,0,0.01
28,9.85848433539,167.451876215,0,1,172,0.2,50,0,0.5,20,0,0.01
29,9.95848378152,170.200877512,0,1,171,0.2,50,0,0.5,20,0,0.01
30,10.0584832221,172.949879021,0,1,170,0.2,50,0,0.5,20,0,0.01
31,10.1584826596,175.698880358,0,1,169,0.2,50,0,0.5,20,0,0.01
32,10.2584820668,178.44788212,0,1,168,0.2,50,0,0.5,20,0,0.01
33,10.3584815098,181.196883733,0,1,167,0.2,50,0,0.5,20,0,0.01
34,10.4584809473,183.945884975,0,1,166,0.2,50,0,0.5,20,0,0.01
35,10.5584803762,186.694886572,0,1,165,0.2,50,0,0.5,20,0,0.01
36,10.6584798013,189.443888211,0,1,164,0.2,50,0,0.5,20,0,0.01
37,10.758479241,192.192889989,0,1,163,0.2,50,0,0.5,20,0,0.01
38,10.8584786402,194.941891552,0,1,162,0.2,50,0,0.5,20,0,0.01
39,10.9584780787,197.690892878,0,1,161,0.2,50,0,0.5,20,0,0.01
40,11.0584775006,200.439894439,0,1,160,0.2,50,0,0.5,20,0,0.01
41,11.1584769244,203.188895773,0,1,159,0.2,50,0,0.5,20,0,0.01
42,11.2584763741,205.937897659,0,1,158,0.2,50,0,0.5,20,0,0.01
43,11.35847579,208.686899384,0,1,157,0.2,50,0,0.5,20,0,0.01
44,11.4584751879,211.435900688,0,1,156,0.2,50,0,0.5,20,0,0.01
45,11.5584746324,214.184902155,0,1,155,0.2,50,0,0.5,20,0,0.01
46,11.6584740545,216.933903789,0,1,154,0.2,50,0,0.5,20,0,0.01
47,11.7584734824,219.682905144,0,1,153,0.2,50,0,0.5,20,0,0.01
48,11.8584729047,222.431906876,0,1,152,0.2,50,0,0.5,20,0,0.01
49,11.9584723316,225.180908248,0,1,151,0.2,50,0,0.5,20,0,0.01
50,12.0584717643,227.929909846,0,1,150,0.2,50,0,0.5,20,0,0.01
