Attack_value,Mean Distance,Max_Distance,Min_Distance,Max_following_car_accel,Min_following_car_accel
0,-572.1839695396641,50.0,-1838.933085481738,4.173933029174805,-1.3539972305297852
1,-569.1789191083452,50.0,-1831.1850850929918,4.133933067321777,-1.3539972305297852
2,-566.1738692010666,50.0,-1823.4370853093187,4.09393310546875,-1.3539972305297852
3,-563.168818651298,50.0,-1815.6890846793135,4.053933143615723,-1.3539972305297852
4,-560.1637693133139,50.0,-1807.9410863266435,4.013933181762695,-1.3539972305297852
5,-557.1587196307312,50.0,-1800.1930875673247,3.973933458328247,-1.3539972305297852
6,-554.1536684228256,50.0,-1792.4450848615593,3.9339330196380615,-1.3539972305297852
7,-551.1486180684665,50.0,-1784.6970832947077,3.893933057785034,-1.3539972305297852
8,-548.1435679526573,50.0,-1776.9490840600051,3.853933095932007,-1.3539972305297852
9,-545.1385182428119,50.0,-1769.2010843833477,3.8139331340789795,-1.3539972305297852
10,-542.1334681400266,50.0,-1761.453084871705,3.773933172225952,-1.3539972305297852
11,-539.1284171195844,50.0,-1753.7050832963814,3.733933210372925,-1.3539972305297852
12,-536.1233665517443,50.0,-1745.9570815526504,3.6939332485198975,-1.3539972305297852
13,-533.1183168538901,50.0,-1738.2090829257108,3.65393328666687,-1.3539972305297852
14,-530.1132659265471,50.0,-1730.4610808864381,3.6139333248138428,-1.3539972305297852
15,-527.1082151235089,50.0,-1722.7130787414758,3.5739331245422363,-1.3539972305297852
16,-524.1031657660823,50.0,-1714.9650801657613,3.533933162689209,-1.3539972305297852
17,-521.0981156334708,50.0,-1707.2170799461246,3.4939332008361816,-1.3539972305297852
18,-518.0930656438255,50.0,-1699.469080863485,3.4539332389831543,-1.3539972305297852
19,-515.0880157900916,50.0,-1691.7210812691446,3.413933277130127,-1.3539972305297852
20,-512.0829641764393,50.0,-1683.9730777519112,3.3739333152770996,-1.3539972305297852
21,-509.07791509905354,50.0,-1676.2250799661201,3.333933115005493,-1.3539972305297852
22,-506.07286492163485,50.0,-1668.4770802261678,3.293933153152466,-1.3539972305297852
23,-503.06781411218446,50.0,-1660.7290780819508,3.2539331912994385,-1.3539972305297852
24,-500.0627640160582,50.0,-1652.9810772887217,3.213933229446411,-1.3539972305297852
25,-497.05771334440067,50.0,-1645.2330759758688,3.173933267593384,-1.3539972305297852
26,-494.0526631788171,50.0,-1637.4850751964727,3.1339330673217773,-1.3539972305297852
27,-491.04761343119003,50.0,-1629.7370763947406,3.09393310546875,-1.3539972305297852
28,-488.04256323307555,50.0,-1621.9890765844361,3.0539331436157227,-1.3539972305297852
29,-485.0375123989007,50.0,-1614.241075433326,3.0139331817626953,-1.3539972305297852
30,-482.03246286394375,50.0,-1606.493076047228,2.973933219909668,-1.3539972305297852
31,-479.0274124554327,50.0,-1598.7450756834628,2.9339332580566406,-1.3539972305297852
32,-476.02236208271495,50.0,-1590.9970745629034,2.893933057785034,-1.3539972305297852
33,-473.01731228939565,50.0,-1583.2490760429064,2.853933095932007,-1.3539972305297852
34,-470.0122618752283,50.0,-1575.5010747442357,2.8139331340789795,-1.3539972305297852
